stack	variant	step	policy_loss	mean_ratio	clipfrac	reward_mean	notes
verl_omni	v3b lr=1e-2 K=4 epochs=4	1	-5.17e-06	0.99999772	0.109	-0.010985	per-sample 1-D
verl_omni	v3b lr=1e-2 K=4 epochs=4	2	-8.06e-06	0.99999744	0.090	-0.010910	per-sample 1-D
verl_omni	v3b lr=1e-2 K=4 epochs=4	3	-2.83e-06	1.00000211	0.072	-0.010923	per-sample 1-D
verl_omni	v3b lr=1e-2 K=4 epochs=4	4	3.84e-06	1.00000536	0.031	-0.010890	per-sample 1-D
verl_omni	v3b lr=1e-2 K=4 epochs=4	5	1.35e-06	1.00000023	0.033	-0.010929	per-sample 1-D
nemo_rl	v3 lr=1e-2 K=4 epochs=4	0	0.3344	0.99999088	0.0	-0.011005	per-element 2-D (B,T)
nemo_rl	v3 lr=1e-2 K=4 epochs=4	1	-0.4287	1.00000191	0.0	-0.010963	per-element 2-D
nemo_rl	v3 lr=1e-2 K=4 epochs=4	2	0.1019	0.99994528	0.0	-0.010994	per-element 2-D
nemo_rl	v3 lr=1e-2 K=4 epochs=4	3	0.8059	0.99996293	0.0	-0.011001	per-element 2-D
nemo_rl	v3 lr=1e-2 K=4 epochs=4	4	0.8032	0.99996805	0.0	-0.010951	per-element 2-D
nemo_rl	v3 persample lr=1e-2 K=4 epochs=4	0	0.3168	1.00004172	0.0	-0.011005	per-sample 1-D (verl-omni shape)
nemo_rl	v3 persample lr=1e-2 K=4 epochs=4	1	-0.7590	1.00015497	0.0	-0.010976	per-sample 1-D
nemo_rl	v3 persample lr=1e-2 K=4 epochs=4	2	-0.0678	0.99972600	0.0	-0.010991	per-sample 1-D
nemo_rl	v3 persample lr=1e-2 K=4 epochs=4	3	0.6645	0.99978757	0.0	-0.010996	per-sample 1-D
nemo_rl	v3 persample lr=1e-2 K=4 epochs=4	4	0.8088	0.99974877	0.0	-0.010962	per-sample 1-D
