step	train_reward_mean	train_loss
0	27.3522	0.112461
1	20.3674	-0.015599
2	24.4367	0.059321
3	20.9070	0.008080
4	22.4849	0.017080
5	21.6391	0.023109
6	20.7380	-0.004013
7	23.8913	0.024315
8	23.7402	0.005228
9	22.6259	0.011337
10	22.1295	0.093231
11	18.2372	0.033360
12	19.3645	0.008709
13	20.5434	0.005100
14	21.9209	0.049987
15	23.0582	0.035554
16	22.6286	-0.012061
17	20.3915	-0.027074
18	21.7728	0.025452
19	21.1295	0.001939
20	23.5008	0.104440
21	20.8386	-0.021796
22	22.8454	0.035312
23	19.3823	0.037591
24	20.9449	-0.008126
25	19.4047	0.012982
26	23.7090	0.027462
27	21.0600	0.014748
28	21.5099	0.013044
29	19.5788	-0.012563
30	21.4547	0.080745
31	22.3312	0.009691
32	20.8660	0.068787
33	24.6429	0.017675
34	18.5811	0.022692
35	23.6599	0.008006
36	25.4871	-0.001388
37	21.0748	-0.009547
38	24.6508	-0.020320
39	21.7905	0.002252
40	21.0484	0.003948
41	23.9124	-0.000810
42	24.3371	-0.045995
43	22.8927	-0.005411
44	19.4983	0.008643
45	20.8939	0.013762
46	21.1066	0.062464
47	19.2489	-0.010935
48	19.5912	-0.035260
49	21.1788	-0.019467
50	20.0140	-0.043357
51	21.8139	-0.106549
52	23.2381	-0.007224
53	20.8911	-0.010136
54	23.3716	-0.011835
55	21.9932	0.043725
56	21.1146	0.053004
57	19.9308	-0.015418
58	20.7827	0.011672
59	21.6136	0.082652
60	19.7835	0.039890
61	21.6093	0.020200
62	25.1838	-0.025220
63	21.0749	-0.009864
64	23.7231	0.036189
65	23.3091	0.009217
66	21.7096	-0.003808
67	21.3836	-0.014410
68	21.7014	0.114560
69	22.9908	0.065553
70	20.1284	0.003681
71	20.6643	-0.004306
72	22.0916	0.017326
73	24.6462	0.028504
74	23.8924	0.027318
75	22.8070	-0.001785
76	24.3834	-0.012012
77	22.1064	0.011927
78	21.2329	0.000726
79	22.5482	0.047244
80	22.9543	0.077815
81	20.0812	0.026028
82	22.5654	0.097699
83	21.6964	-0.001517
84	21.9768	-0.027352
85	21.8898	-0.001798
86	24.1227	0.001412
87	22.3436	0.009633
88	21.3926	0.007275
89	21.8133	0.018925
90	22.9137	0.004039
91	21.7041	-0.008920
92	22.5205	0.074160
93	21.4858	-0.021498
94	24.5546	0.026086
95	21.8006	0.022589
96	20.9131	0.012247
97	21.6766	0.037905
98	23.4922	0.003044
99	21.7788	0.001113
100	21.5874	-0.016063
101	20.6935	0.042630
102	20.9751	0.036955
103	22.6133	0.008238
104	20.2440	0.002510
105	18.6568	0.014615
106	24.3332	0.003509
107	20.0261	-0.007032
108	22.2646	-0.002590
109	21.5627	-0.019648
110	23.3520	0.024309
111	23.2379	0.111092
112	20.8747	0.001561
113	20.3921	0.046009
114	22.0989	0.010041
115	18.3000	0.004045
116	23.8798	-0.016232
117	21.5557	0.029795
118	20.6364	-0.045622
119	22.1671	0.017050
120	20.8053	0.102530
121	21.5884	0.004964
122	20.6129	-0.025431
123	23.5266	0.095288
124	21.9861	0.030334
125	20.7885	0.045254
126	21.9423	0.021211
127	21.1363	-0.018549
128	21.8436	-0.002314
129	21.6176	0.002003
130	19.3186	0.023817
131	22.6584	0.095993
132	19.7661	-0.018343
133	20.2243	0.089227
134	18.6187	0.003452
135	22.5913	0.063779
136	22.3875	0.012090
137	21.7827	0.001094
138	19.7030	-0.013356
139	22.1228	0.066110
140	23.4030	-0.002177
141	23.2604	0.023492
142	21.9182	0.095939
143	21.9403	0.040840
144	25.7384	0.103704
145	19.9485	0.042461
146	23.5873	0.006054
147	21.2190	0.034018
148	22.7122	-0.008179
149	24.7542	0.050545
150	21.5393	-0.030631
151	23.0298	-0.003359
152	23.4449	0.060794
153	20.7214	-0.086746
154	23.8830	-0.004499
155	23.7997	-0.052309
156	21.7146	0.015309
157	21.5767	0.026651
158	21.7844	0.029936
159	18.7865	0.000499
160	19.8510	0.002846
161	17.8164	0.029721
162	20.9639	0.009818
163	20.3050	0.023232
164	19.2771	-0.094288
165	24.8341	-0.012132
166	21.1477	-0.025505
167	24.4573	0.103800
168	22.1505	0.044147
169	25.4270	0.075888
170	23.0178	0.013044
171	22.9584	0.008264
172	23.6358	0.005716
173	22.3309	-0.013249
174	21.9330	-0.018902
175	20.8053	-0.006475
176	23.5807	-0.027168
177	21.7592	-0.019679
178	21.0521	0.001610
179	23.8259	-0.022377
180	22.8047	-0.050888
181	25.6923	-0.006971
182	22.5400	-0.031621
183	21.7195	0.106685
184	22.5161	-0.011419
185	21.6189	0.053601
186	22.9080	0.098336
187	21.4898	-0.010890
188	17.9719	0.002367
189	21.0142	0.042820
190	22.9204	0.010404
191	21.3247	-0.008405
192	20.7679	-0.049668
193	22.5087	0.068337
194	23.8300	0.041450
195	23.3906	0.016509
196	20.8196	0.013429
197	20.5550	-0.010140
198	23.2192	0.092054
199	24.6062	-0.002707
200	21.7503	-0.016365
201	21.2913	0.087724
202	24.4978	-0.001027
203	18.4630	0.001063
204	20.2232	0.047198
205	19.7949	-0.011032
206	20.7090	0.009385
207	21.9013	0.010206
208	23.1202	-0.019144
209	20.1428	0.081250
210	21.1237	-0.018150
211	21.7334	0.008099
212	21.1502	-0.005073
213	22.4384	0.006325
214	22.7853	-0.062867
215	23.5704	-0.006364
216	21.1601	0.001566
217	22.2753	0.017737
218	21.6945	0.016819
219	22.1737	-0.005421
220	22.2953	0.022496
221	20.5871	0.067907
222	23.4719	0.036726
223	23.3869	0.031062
224	21.7367	0.004200
225	20.8078	0.043958
226	23.1925	-0.027326
227	20.4888	-0.006583
228	23.6286	0.025129
229	21.5766	-0.022761
230	22.6755	0.076207
231	21.5588	-0.017647
232	22.7614	0.022275
233	20.6388	0.065546
234	24.3396	0.023493
235	22.9821	0.018322
236	20.6077	0.018999
237	22.7369	0.013628
238	20.7771	0.010570
239	21.4750	0.062971
240	21.1079	0.027015
241	22.3253	-0.019344
242	21.4233	0.054684
243	23.7845	0.011457
244	20.6773	0.100398
245	22.2528	-0.005134
246	22.8574	0.046871
247	22.6455	-0.033007
248	25.3977	-0.017579
249	19.3252	-0.003475
250	22.7308	-0.013721
251	21.7759	0.008318
252	23.4119	0.007991
253	20.7953	0.026222
254	23.9897	0.021282
255	22.4132	-0.024290
256	23.4370	0.009842
257	23.7811	-0.004812
258	23.1420	-0.007032
259	25.0575	-0.001351
260	26.1219	0.019323
261	21.3220	-0.006126
262	21.9102	0.013540
263	21.6621	0.049486
264	19.7746	0.019900
265	20.7249	0.041287
266	23.3815	0.037456
267	19.1346	-0.024396
268	24.1283	0.010747
269	21.2255	-0.023011
270	22.9478	0.028979
271	19.1249	-0.008354
272	20.2582	-0.033553
273	22.3171	0.037272
274	22.9010	0.016652
275	19.5303	-0.027097
276	22.0026	0.057200
277	22.2946	-0.015297
278	21.8729	0.011995
279	22.5628	-0.002938
280	23.1327	-0.017134
281	16.2960	-0.013349
282	19.5643	0.002622
283	18.8997	-0.014513
284	24.1378	0.004420
285	21.0751	0.051990
286	19.0123	-0.000028
287	18.5281	0.004126
288	21.2573	-0.002772
289	25.8238	0.008033
290	21.3517	0.011557
291	18.7136	0.094718
292	22.5881	0.027187
293	22.0514	0.099273
294	21.4551	0.026229
295	21.6265	0.037984
296	20.6626	-0.031762
297	20.8845	-0.020145
298	21.2310	-0.025547
299	19.4399	0.026213
300	25.2941	0.017755
301	22.3694	0.010125
302	20.3510	-0.020023
303	22.8497	0.018368
304	25.8000	0.024214
305	21.9167	0.022795
306	22.7134	0.025488
307	21.3876	0.017257
308	23.0317	-0.001738
309	23.1990	-0.019115
310	21.9945	-0.007674
311	21.0655	0.095988
312	20.6451	0.008649
313	21.9446	-0.041076
314	19.8369	0.000159
315	22.6065	0.045849
316	21.7903	-0.011409
317	18.7426	-0.019844
318	19.7020	-0.006759
319	22.3428	0.019701
320	24.6063	0.001464
321	20.8062	-0.022353
322	21.1391	0.025725
323	24.6260	0.056456
324	22.6667	0.018011
325	24.6464	-0.047231
326	24.0391	-0.005786
327	20.4518	0.083634
328	20.6758	-0.022414
329	20.9932	-0.002408
330	21.2397	0.110456
331	22.6732	0.074956
332	21.7803	0.033259
333	22.2859	-0.008695
334	19.6071	0.018683
335	22.0699	-0.003984
336	20.4461	0.001277
337	21.8088	0.004801
338	21.9966	0.041138
339	21.3881	0.009111
340	20.0612	-0.009218
341	21.8338	0.042418
342	20.9575	0.014045
343	20.6444	-0.007741
344	22.5474	0.028084
345	21.6304	0.055769
346	18.0080	-0.002815
347	22.5970	0.013636
348	21.9599	0.004931
349	19.4138	0.027237
350	21.5233	0.096938
351	20.4413	0.023003
352	23.5064	0.023583
353	21.7548	0.026573
354	20.3441	0.049897
355	23.6487	0.034312
356	23.9384	0.041584
357	23.5617	0.003929
358	22.8974	0.094212
359	20.5979	-0.004996
360	21.3841	0.013818
361	24.1355	0.026181
362	19.6305	0.051088
363	20.0409	0.035146
364	23.3971	0.013628
365	19.9066	-0.055794
366	21.0876	0.000742
367	24.1593	-0.020607
368	24.7202	0.090653
369	20.0837	0.006135
370	20.9323	0.005657
371	19.8570	0.006262
372	22.0006	-0.027014
373	20.9591	-0.008735
374	21.4039	0.105136
375	20.2031	0.006928
376	22.6029	-0.016982
377	20.9535	0.008647
378	24.5789	0.039664
379	23.0092	0.024407
380	21.3488	0.023023
381	21.7769	0.019680
382	18.4213	0.021361
383	21.6247	0.016672
384	22.7003	0.031885
385	24.0287	0.067289
386	22.8430	0.042617
387	21.3286	0.124932
388	19.4783	-0.033346
389	22.4908	0.043273
390	23.9258	-0.002508
391	21.6435	0.026334
392	23.6741	0.044259
393	20.2480	-0.001643
394	21.9939	0.048755
395	19.0720	-0.001109
396	21.8958	-0.003566
397	23.2615	0.003858
398	19.6320	0.043223
399	23.2330	0.002833
400	22.2177	-0.013871
401	20.3157	-0.003268
402	19.4334	0.007293
403	20.0221	-0.010635
404	23.1973	0.005507
405	21.4212	-0.003242
406	19.9464	-0.000286
407	22.7109	-0.057143
408	21.1344	-0.039042
409	21.0944	0.045107
410	20.2695	0.008886
411	20.8171	-0.036697
412	23.9134	0.034058
413	20.0312	0.011416
414	19.3714	-0.041772
415	20.4415	0.004859
416	21.6499	0.011751
417	22.9863	0.014655
418	22.0866	0.037484
419	20.6426	0.045913
420	22.7154	0.099673
421	21.9283	0.072458
422	23.2231	0.030162
423	19.3735	-0.010487
424	20.6061	0.020053
425	21.7074	-0.028712
426	22.1377	-0.021936
427	20.4303	0.083339
428	19.6903	0.025157
429	23.0674	0.015184
430	21.1832	0.027347
431	21.2245	0.003336
432	21.1416	-0.036581
433	19.1574	0.037634
434	19.7364	-0.046236
435	21.7404	0.048123
436	23.3674	0.003854
437	19.2706	-0.010208
438	23.0952	-0.031997
439	21.5443	0.056834
440	25.1395	0.086829
441	23.6039	0.010520
442	23.1969	-0.003813
443	19.9330	-0.057919
444	19.2867	0.047505
445	20.9997	0.057766
446	21.8902	0.005108
447	21.8081	-0.008301
448	24.7288	0.114237
449	19.1913	0.004560
450	21.7270	-0.004189
451	21.8715	-0.008199
452	21.5544	0.034767
453	20.7742	0.025473
454	23.3145	-0.013171
455	22.3598	-0.003565
456	20.8646	0.026382
457	22.4997	0.029145
458	24.8672	-0.005315
459	23.5652	0.021355
460	21.8253	0.074899
461	24.6812	0.034089
462	23.2276	0.007732
463	24.3118	0.015522
464	22.9171	0.007648
465	19.0081	-0.024121
466	20.0889	-0.022427
467	24.0494	0.023396
468	21.8735	0.037359
469	21.6264	0.027773
470	21.5947	-0.000513
471	19.9583	-0.002257
472	20.4481	0.010071
473	22.7646	0.009429
474	22.2621	0.014980
475	22.3755	0.007227
476	21.7072	-0.040480
477	22.8858	0.097159
478	20.3386	0.014348
479	21.2597	-0.003617
480	21.8581	0.015302
481	21.5860	-0.027001
482	22.5287	0.010013
483	24.3154	0.046052
484	18.6167	-0.006328
485	20.4638	-0.022936
486	21.1707	0.027152
487	19.7516	-0.004448
488	21.1363	-0.014316
489	22.0309	0.032864
490	21.9599	-0.023346
491	21.8507	0.015001
492	21.5476	0.033172
493	19.9984	-0.013658
494	23.8168	0.012138
495	22.7664	0.092475
496	20.0746	0.011449
497	23.7468	0.094976
498	24.8460	0.005422
499	21.3404	0.024496
500	21.9303	0.021663
501	19.1553	-0.010919
